app_id,category
1832640,Single-player
1832640,Steam Achievements
1832640,Steam Workshop
1832640,Steam Cloud
1832640,Family Sharing
57300,Single-player
57300,Steam Achievements
57300,Full controller support
57300,Captions available
57300,Includes level editor
57300,Commentary available
57300,Remote Play on Phone
57300,Remote Play on Tablet
57300,Remote Play on TV
57300,Remote Play Together
57300,Family Sharing
323190,Single-player
323190,Steam Achievements
323190,Steam Trading Cards
323190,Steam Cloud
323190,Remote Play on Phone
323190,Remote Play on Tablet
323190,Family Sharing
39210,Single-player
39210,Multi-player
39210,MMO
39210,PvP
39210,Online PvP
39210,Co-op
39210,Online Co-op
39210,Cross-Platform Multiplayer
39210,Adjustable Text Size
39210,Custom Volume Controls
39210,Keyboard Only Option
39210,DualShock Controller Support
39210,Save Anytime
39210,Stereo Sound
39210,Surround Sound
39210,Partial Controller Support
39210,Remote Play on Tablet
39210,Family Sharing
238320,Single-player
238320,Steam Achievements
238320,Full controller support
238320,Steam Trading Cards
238320,Captions available
238320,Steam Cloud
238320,Remote Play on TV
238320,Family Sharing
282070,Single-player
282070,Steam Achievements
282070,Steam Trading Cards
282070,Steam Workshop
282070,Partial Controller Support
282070,Steam Cloud
282070,Family Sharing
438740,Multi-player
438740,Steam Achievements
438740,Full controller support
438740,Stats
438740,Steam Leaderboards
438740,Remote Play on TV
438740,Family Sharing
617290,Single-player
617290,Multi-player
617290,Co-op
617290,Online Co-op
617290,Steam Achievements
617290,Full controller support
617290,Steam Trading Cards
617290,Steam Cloud
617290,Remote Play on Tablet
617290,Remote Play on TV
617290,Family Sharing
552500,Single-player
552500,Multi-player
552500,Co-op
552500,Online Co-op
552500,Steam Achievements
552500,Full controller support
552500,Steam Trading Cards
552500,DualShock Controller Support
552500,Family Sharing
1057090,Single-player
1057090,Steam Achievements
1057090,Full controller support
1057090,Steam Cloud
1057090,Remote Play on Phone
1057090,Remote Play on Tablet
1057090,Remote Play on TV
1057090,HDR available
1057090,Family Sharing
359320,Single-player
359320,Multi-player
359320,MMO
359320,Co-op
359320,VR Supported
359320,VR Support
359320,In-App Purchases
359320,Partial Controller Support
359320,Remote Play on Tablet
359320,Family Sharing
214950,Single-player
214950,Multi-player
214950,PvP
214950,Online PvP
214950,LAN PvP
214950,Co-op
214950,Online Co-op
214950,LAN Co-op
214950,Steam Trading Cards
214950,Camera Comfort
214950,Custom Volume Controls
214950,Adjustable Difficulty
214950,Playable without Timed Input
214950,Save Anytime
214950,Stereo Sound
214950,Surround Sound
214950,Steam Cloud
214950,Family Sharing
9480,Single-player
9480,Partial Controller Support
9480,Steam Cloud
9480,Family Sharing
1771300,Single-player
1771300,Steam Achievements
1771300,Full controller support
1771300,Steam Trading Cards
1771300,Custom Volume Controls
1771300,Playable without Timed Input
1771300,DualShock Controller Support
1771300,Stereo Sound
1771300,Surround Sound
1771300,Steam Cloud
1771300,Family Sharing
447040,Single-player
447040,Multi-player
447040,Co-op
447040,Steam Achievements
447040,In-App Purchases
447040,Partial Controller Support
209080,Multi-player
209080,Steam Achievements
209080,Steam Trading Cards
209080,Steam Workshop
209080,Partial Controller Support
209080,Stats
209080,Family Sharing
648350,Single-player
648350,Steam Achievements
648350,Full controller support
648350,Steam Trading Cards
648350,Steam Cloud
648350,Remote Play on TV
648350,Family Sharing
1372880,Multi-player
1372880,MMO
1372880,PvP
1372880,Online PvP
1372880,Co-op
1372880,Online Co-op
1372880,Family Sharing
35720,Single-player
35720,Multi-player
35720,Co-op
35720,Online Co-op
35720,Shared/Split Screen Co-op
35720,Shared/Split Screen
35720,Cross-Platform Multiplayer
35720,Steam Achievements
35720,Full controller support
35720,Steam Trading Cards
35720,Steam Workshop
35720,Steam Cloud
35720,Includes level editor
35720,Remote Play on Phone
35720,Remote Play on Tablet
35720,Remote Play on TV
35720,Remote Play Together
35720,Family Sharing
379430,Single-player
379430,Steam Achievements
379430,Full controller support
379430,Steam Trading Cards
379430,Steam Cloud
379430,Remote Play on TV
379430,Family Sharing
289650,Single-player
289650,Multi-player
289650,Co-op
289650,Steam Achievements
289650,In-App Purchases
289650,Custom Volume Controls
289650,Adjustable Difficulty
289650,Mouse Only Option
289650,Playable without Timed Input
289650,Save Anytime
289650,Stereo Sound
289650,Surround Sound
289650,Partial Controller Support
4560,Single-player
4560,Multi-player
4560,Steam Trading Cards
4560,Steam Workshop
4560,Steam Cloud
4560,Family Sharing
233130,Single-player
233130,Steam Achievements
233130,Full controller support
233130,Steam Trading Cards
233130,Captions available
233130,Steam Cloud
233130,Remote Play on TV
233130,Family Sharing
391720,Single-player
391720,Steam Achievements
391720,Steam Trading Cards
391720,Partial Controller Support
391720,Steam Cloud
391720,Remote Play on Tablet
391720,Family Sharing
1361210,Multi-player
1361210,Co-op
1361210,Online Co-op
1361210,Cross-Platform Multiplayer
1361210,Steam Achievements
1361210,Captions available
1361210,In-App Purchases
1361210,Partial Controller Support
1361210,Family Sharing
238090,Single-player
238090,Multi-player
238090,Co-op
238090,Steam Achievements
238090,Full controller support
238090,Steam Trading Cards
238090,Steam Cloud
238090,Steam Leaderboards
238090,Remote Play on TV
238090,Family Sharing
1250410,Single-player
1250410,Multi-player
1250410,Steam Achievements
1250410,Full controller support
1250410,VR Supported
1250410,In-App Purchases
1250410,HDR available
1250410,Family Sharing
1056640,Multi-player
1056640,Co-op
1056640,Online Co-op
1056640,Cross-Platform Multiplayer
1056640,Steam Achievements
1056640,In-App Purchases
1056640,Partial Controller Support
1056640,Remote Play on Tablet
1056640,Family Sharing
1942280,Single-player
1942280,Multi-player
1942280,Co-op
1942280,Shared/Split Screen Co-op
1942280,Shared/Split Screen
1942280,Steam Achievements
1942280,Full controller support
1942280,Steam Trading Cards
1942280,Steam Workshop
1942280,Steam Cloud
1942280,Remote Play on TV
1942280,Remote Play Together
1942280,Family Sharing
881020,Single-player
881020,Multi-player
881020,Co-op
881020,Online Co-op
881020,Steam Achievements
881020,Gamepad Recommended
881020,Steam Input API Support
