app_id,name,type,is_free,release_date,languages,price_overview
1832640,Mirror 2: Project X,game,False,"Jan 20, 2022","Japanese<strong>*</strong>, English, Simplified Chinese, Traditional Chinese, Korean, Russian<br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 199, ""final"": 79, ""discount_percent"": 60, ""initial_formatted"": ""$1.99"", ""final_formatted"": ""$0.79""}"
57300,Amnesia: The Dark Descent,game,False,"Sep 8, 2010","English<strong>*</strong>, French, German, Italian, Spanish - Spain, Russian, Simplified Chinese<br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 1999, ""final"": 679, ""discount_percent"": 66, ""initial_formatted"": ""$19.99"", ""final_formatted"": ""$6.79""}"
323190,Frostpunk,game,False,"Apr 24, 2018","English<strong>*</strong>, French, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Portuguese - Brazil, Turkish, Italian, Japanese, Korean<br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 2999, ""final"": 299, ""discount_percent"": 90, ""initial_formatted"": ""$29.99"", ""final_formatted"": ""$2.99""}"
39210,FINAL FANTASY XIV Online,game,False,"Feb 18, 2014","English<strong>*</strong>, French<strong>*</strong>, German<strong>*</strong>, Japanese<strong>*</strong><br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 1999, ""final"": 1999, ""discount_percent"": 0, ""initial_formatted"": """", ""final_formatted"": ""$19.99""}"
238320,Outlast,game,False,"Sep 4, 2013","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Russian, Polish, Portuguese - Brazil, Japanese<br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 1499, ""final"": 374, ""discount_percent"": 75, ""initial_formatted"": ""$14.99"", ""final_formatted"": ""$3.74""}"
282070,This War of Mine,game,False,"Nov 14, 2014","English<strong>*</strong>, French, German, Polish, Russian, Italian, Portuguese - Brazil, Spanish - Spain, Japanese, Korean, Turkish, Simplified Chinese<br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 1999, ""final"": 299, ""discount_percent"": 85, ""initial_formatted"": ""$19.99"", ""final_formatted"": ""$2.99""}"
438740,Friday the 13th: The Game,game,False,"May 25, 2017","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Russian<br><strong>*</strong>languages with full audio support",
617290,Remnant: From the Ashes,game,False,"Aug 19, 2019","English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese, Portuguese - Brazil, Traditional Chinese<br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 3999, ""final"": 799, ""discount_percent"": 80, ""initial_formatted"": ""$39.99"", ""final_formatted"": ""$7.99""}"
552500,Warhammer: Vermintide 2,game,False,"Mar 8, 2018","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese<br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 2999, ""final"": 299, ""discount_percent"": 90, ""initial_formatted"": ""$29.99"", ""final_formatted"": ""$2.99""}"
1057090,Ori and the Will of the Wisps,game,False,"Mar 10, 2020","English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Traditional Chinese, Turkish","{""currency"": ""USD"", ""initial"": 2999, ""final"": 749, ""discount_percent"": 75, ""initial_formatted"": ""$29.99"", ""final_formatted"": ""$7.49""}"
359320,Elite Dangerous,game,False,"Apr 2, 2015","English<strong>*</strong>, French, German, Russian, Spanish - Spain, Portuguese - Brazil<br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 1999, ""final"": 499, ""discount_percent"": 75, ""initial_formatted"": ""$19.99"", ""final_formatted"": ""$4.99""}"
214950,Total War: ROME II - Emperor Edition,game,False,"Sep 2, 2013","English<strong>*</strong>, German<strong>*</strong>, French<strong>*</strong>, Italian, Spanish - Spain, Russian, Polish, Czech, Turkish<br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 5999, ""final"": 1199, ""discount_percent"": 80, ""initial_formatted"": ""$59.99"", ""final_formatted"": ""$11.99""}"
9480,Saints Row 2,game,False,"Jan 7, 2009","English, French, German, Italian, Spanish - Spain, Dutch, Danish, Swedish, Russian","{""currency"": ""USD"", ""initial"": 999, ""final"": 249, ""discount_percent"": 75, ""initial_formatted"": ""$9.99"", ""final_formatted"": ""$2.49""}"
1771300,Kingdom Come: Deliverance II,game,False,"Feb 4, 2025","English<strong>*</strong>, Italian, French<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Czech<strong>*</strong>, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Turkish, Russian, Ukrainian<br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 5999, ""final"": 2399, ""discount_percent"": 60, ""initial_formatted"": ""$59.99"", ""final_formatted"": ""$23.99""}"
447040,Watch_Dogs® 2,game,False,"Nov 28, 2016","English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Czech, Dutch, Hungarian, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese, Traditional Chinese, Spanish - Latin America<strong>*</strong><br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 4999, ""final"": 249, ""discount_percent"": 95, ""initial_formatted"": ""$49.99"", ""final_formatted"": ""$2.49""}"
209080,Guns of Icarus Online,game,False,"Oct 29, 2012",English,"{""currency"": ""USD"", ""initial"": 499, ""final"": 499, ""discount_percent"": 0, ""initial_formatted"": """", ""final_formatted"": ""$4.99""}"
648350,Jurassic World Evolution,game,False,"Jun 11, 2018","English<strong>*</strong>, French<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Japanese<strong>*</strong>, Portuguese - Brazil<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese<strong>*</strong>, Traditional Chinese, Italian<strong>*</strong>, Korean<strong>*</strong>, Spanish - Latin America<strong>*</strong><br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 4499, ""final"": 899, ""discount_percent"": 80, ""initial_formatted"": ""$44.99"", ""final_formatted"": ""$8.99""}"
1372880,The Day Before,game,False,"Dec 7, 2023","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Portuguese - Brazil, Traditional Chinese, Simplified Chinese<strong>*</strong>, Korean, Polish, Russian<strong>*</strong>, Japanese, Ukrainian<br><strong>*</strong>languages with full audio support",
35720,Trine 2: Complete Story,game,False,"Jun 6, 2013","English<strong>*</strong>, Finnish, French<strong>*</strong>, German<strong>*</strong>, Italian, Spanish - Spain<strong>*</strong>, Czech, Hungarian, Korean, Portuguese - Brazil, Romanian, Russian, Turkish, Polish, Traditional Chinese<br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 1999, ""final"": 399, ""discount_percent"": 80, ""initial_formatted"": ""$19.99"", ""final_formatted"": ""$3.99""}"
379430,Kingdom Come: Deliverance,game,False,"Feb 13, 2018","English<strong>*</strong>, French<strong>*</strong>, German<strong>*</strong>, Spanish - Spain, Czech<strong>*</strong>, Polish, Russian, Italian, Simplified Chinese, Turkish, Korean, Ukrainian, Portuguese - Brazil, Japanese<strong>*</strong><br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 2999, ""final"": 599, ""discount_percent"": 80, ""initial_formatted"": ""$29.99"", ""final_formatted"": ""$5.99""}"
289650,Assassin's Creed® Unity,game,False,"Nov 11, 2014","English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Czech, Japanese<strong>*</strong>, Korean, Polish, Portuguese - Brazil, Russian<strong>*</strong>, Traditional Chinese, Dutch<br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 2999, ""final"": 749, ""discount_percent"": 75, ""initial_formatted"": ""$29.99"", ""final_formatted"": ""$7.49""}"
4560,Company of Heroes - Legacy Edition,game,False,"Jul 17, 2007","English<strong>*</strong>, French<strong>*</strong>, Spanish - Spain, Italian, German<strong>*</strong>, Czech, Japanese, Korean, Polish, Russian<strong>*</strong>, Traditional Chinese<br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 3699, ""final"": 739, ""discount_percent"": 80, ""initial_formatted"": ""$36.99"", ""final_formatted"": ""$7.39""}"
233130,Shadow Warrior,game,False,"Sep 26, 2013","English<strong>*</strong>, French, German, Spanish - Spain, Portuguese - Brazil, Russian, Polish, Italian, Hungarian, Japanese, Simplified Chinese<br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 2999, ""final"": 299, ""discount_percent"": 90, ""initial_formatted"": ""$29.99"", ""final_formatted"": ""$2.99""}"
391720,Layers of Fear (2016),game,False,"Feb 15, 2016","English<strong>*</strong>, Italian, Polish, French, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian, Simplified Chinese, Turkish, Korean<br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 1999, ""final"": 1999, ""discount_percent"": 0, ""initial_formatted"": """", ""final_formatted"": ""$19.99""}"
1361210,"Warhammer 40,000: Darktide",game,False,"Nov 30, 2022","English<strong>*</strong>, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Japanese, Korean, Traditional Chinese<br><strong>*</strong>languages with full audio support","{""currency"": ""USD"", ""initial"": 3999, ""final"": 999, ""discount_percent"": 75, ""initial_formatted"": ""$39.99"", ""final_formatted"": ""$9.99""}"
