app_id,genre
1832640,Adventure
1832640,Indie
1832640,RPG
1832640,Early Access
57300,Action
57300,Adventure
57300,Indie
323190,Simulation
323190,Strategy
39210,Massively Multiplayer
39210,RPG
238320,Action
238320,Adventure
238320,Indie
282070,Adventure
282070,Indie
282070,Simulation
438740,Action
617290,Action
617290,Adventure
617290,RPG
552500,Action
552500,Indie
552500,RPG
1057090,Action
359320,Action
359320,Adventure
359320,Massively Multiplayer
359320,RPG
359320,Simulation
359320,Strategy
214950,Strategy
9480,Action
1771300,Action
1771300,Adventure
1771300,RPG
447040,Action
447040,Adventure
209080,Action
209080,Adventure
209080,Indie
209080,Simulation
648350,Simulation
648350,Strategy
1372880,Action
1372880,Adventure
1372880,Massively Multiplayer
1372880,Early Access
35720,Action
35720,Adventure
35720,Indie
379430,Action
379430,Adventure
379430,RPG
289650,Action
289650,Adventure
4560,Action
4560,Strategy
233130,Action
233130,Adventure
391720,Adventure
391720,Indie
1361210,Action
1361210,Adventure
1361210,RPG
238090,Action
238090,Adventure
1250410,Simulation
1056640,Action
1056640,Massively Multiplayer
1056640,RPG
1056640,Free To Play
1942280,Action
1942280,Casual
1942280,Indie
1942280,RPG
1942280,Free To Play
881020,Action
881020,Adventure
881020,RPG
204880,Action
204880,Indie
204880,Simulation
204880,Strategy
387290,Action
635260,Action
635260,Casual
635260,Massively Multiplayer
635260,Racing
635260,Simulation
635260,Sports
414340,Action
414340,Adventure
414340,Indie
47870,Racing
1304930,Action
1304930,Adventure
1304930,Indie
1272080,Action
1272080,Adventure
1272080,RPG
1313140,Action
1313140,Adventure
1313140,Indie
1313140,Strategy
261570,Action
200260,Action
200260,Adventure
393380,Action
393380,Indie
393380,Massively Multiplayer
393380,Strategy
1254120,Action
1254120,Massively Multiplayer
1254120,RPG
1254120,Free To Play
201790,Action
201790,Adventure
201790,Indie
201790,RPG
201790,Strategy
787860,Simulation
466560,Adventure
466560,Indie
466560,Simulation
466560,Strategy
740130,Action
740130,RPG
1248130,Simulation
325610,Strategy
1643320,Action
1643320,Adventure
1643320,RPG
63380,Action
201810,Action
50,Action
1845910,Action
1845910,Adventure
1845910,RPG
1845910,Strategy
1029690,Action
1029690,Adventure
312660,Action
312660,Adventure
502500,Action
502500,Simulation
736590,Action
736590,Casual
736590,Indie
736590,Simulation
736590,Strategy
736590,Free To Play
736590,Early Access
1637320,Action
1637320,Adventure
1637320,Indie
1637320,Simulation
41070,Action
41070,Indie
1284210,Adventure
1284210,Massively Multiplayer
1284210,RPG
1284210,Free To Play
485510,Action
485510,RPG
35700,Action
35700,Adventure
35700,Indie
282140,Action
282140,Adventure
282140,Indie
225260,Action
225260,Adventure
225260,Strategy
204300,Action
204300,Indie
204300,Strategy
858820,Action
858820,Adventure
858820,Indie
858820,RPG
349040,Action
349040,Adventure
823130,Action
823130,Indie
823130,Free To Play
637650,RPG
703080,Casual
703080,Simulation
703080,Strategy
35140,Action
35140,Adventure
433340,Action
433340,Adventure
433340,Indie
433340,Simulation
527230,Adventure
527230,Indie
527230,RPG
527230,Strategy
645630,Racing
645630,Simulation
1790600,Action
368260,RPG
368260,Strategy
453480,Strategy
453480,Free To Play
633230,Action
1371980,Action
1371980,Adventure
1371980,RPG
1371980,Early Access
606150,Action
606150,Adventure
606150,Indie
342200,Action
342200,Massively Multiplayer
342200,Simulation
342200,Strategy
342200,Free To Play
55150,Action
8980,Action
8980,RPG
1343400,Massively Multiplayer
1343400,RPG
1343400,Free To Play
234650,Adventure
234650,Indie
234650,RPG
234650,Strategy
206440,Adventure
206440,Indie
206440,RPG
1687950,RPG
238370,Action
238370,Adventure
977950,Indie
268050,Action
289130,RPG
289130,Strategy
1557740,Action
1557740,Indie
683320,Adventure
683320,Indie
2551020,Action
2551020,Indie
2551020,Simulation
2551020,Strategy
2551020,Free To Play
1817070,Action
1817070,Adventure
1817070,Casual
205100,Action
205100,Adventure
55230,Action
262060,Indie
262060,RPG
262060,Strategy
6060,Action
508440,Indie
508440,Simulation
508440,Strategy
307780,Action
403640,Action
1203620,Action
1203620,Adventure
1203620,Indie
1203620,RPG
1203620,Early Access
397540,Action
397540,RPG
208650,Action
208650,Adventure
244850,Action
244850,Indie
244850,Simulation
244850,Strategy
1142710,Action
1142710,Strategy
2593370,Adventure
2593370,Indie
2593370,RPG
39500,Action
39500,RPG
1286680,Action
1286680,Adventure
1286680,RPG
1290000,Casual
1290000,Indie
1290000,Simulation
57690,Simulation
57690,Strategy
208140,Strategy
519860,Action
519860,Indie
582500,Action
582500,Adventure
582500,Indie
582500,Free To Play
1058020,Action
246620,Casual
246620,Indie
246620,Simulation
246620,Strategy
324800,Action
324800,Adventure
313160,Simulation
257850,Action
257850,Adventure
257850,Indie
257850,RPG
1490890,Action
1490890,Adventure
960170,Action
960170,Casual
960170,Sports
1922560,Action
1922560,Casual
1922560,Strategy
1385380,Adventure
1385380,Indie
1385380,RPG
1385380,Strategy
411300,Action
411300,Adventure
411300,RPG
247080,Action
247080,Indie
247080,RPG
392110,Strategy
9340,Action
9340,Strategy
752590,Action
752590,Adventure
612880,Action
638070,Action
638070,Indie
638070,Simulation
638070,Strategy
232890,Simulation
232890,Strategy
1343370,Adventure
1343370,Massively Multiplayer
1343370,RPG
1343370,Free To Play
102600,Action
102600,Indie
102600,Strategy
2527500,Adventure
2527500,Indie
2527500,RPG
2527500,Simulation
774361,Action
774361,Adventure
774361,Indie
251060,Indie
251060,Simulation
251060,Strategy
4500,Action
4500,RPG
32470,Strategy
637090,Action
637090,Adventure
637090,Strategy
690790,Racing
690790,Simulation
690790,Sports
704850,Action
704850,Adventure
704850,Indie
704850,Simulation
424370,Action
424370,Adventure
424370,Indie
424370,RPG
851850,Action
851850,RPG
243470,Action
243470,Adventure
34440,Strategy
4570,Strategy
2322560,Adventure
2322560,Indie
2322560,RPG
2322560,Simulation
2322560,Strategy
10680,Action
216150,Action
216150,Adventure
216150,Casual
216150,Massively Multiplayer
216150,RPG
216150,Free To Play
378540,Action
378540,RPG
736220,Action
736220,Indie
736220,Massively Multiplayer
736220,Strategy
228200,Action
228200,Strategy
233720,Action
233720,Indie
233720,Simulation
1282100,Action
1282100,Adventure
1282100,RPG
130,Action
418240,Indie
418240,Strategy
17460,Action
17460,RPG
1178830,Action
1178830,Indie
334230,Action
334230,Casual
334230,RPG
334230,Strategy
599140,Adventure
599140,Indie
599140,RPG
599140,Simulation
1621690,Action
1621690,Adventure
1621690,Indie
1621690,RPG
1621690,Simulation
1778820,Action
1522820,Action
1522820,Adventure
1522820,Indie
1522820,Strategy
23310,RPG
3910,Strategy
41000,Action
41000,Indie
1284190,Adventure
585420,Action
585420,Adventure
585420,Indie
585420,Racing
585420,Simulation
527430,Action
527430,Adventure
527430,Indie
527430,RPG
334210,Action
334210,Indie
334210,Strategy
535930,Indie
535930,Simulation
414700,Action
414700,Adventure
414700,Indie
292910,Adventure
447020,Simulation
1929610,Action
1929610,Adventure
1929610,Indie
2096610,Action
250400,Action
250400,Adventure
250400,RPG
410320,Action
601430,Action
601430,Adventure
1190000,Racing
1190000,Simulation
39140,RPG
220440,Action
220440,Adventure
337320,Action
337320,Indie
350640,Action
350640,Adventure
1475810,Action
427270,Action
427270,Free To Play
427270,Strategy
816020,Action
34460,Strategy
55110,Action
278080,Action
1987080,Adventure
1987080,Indie
1987080,Early Access
245620,RPG
245620,Simulation
245620,Strategy
657200,Simulation
1388770,Action
1388770,Indie
1388770,Simulation
603850,Strategy
1113000,RPG
1016920,Action
1016920,Casual
1016920,Indie
955050,Action
955050,Adventure
955050,Indie
794260,RPG
2680010,Action
2680010,Adventure
2680010,RPG
920210,Action
920210,Adventure
257510,Action
257510,Adventure
257510,Indie
4760,Strategy
568220,Indie
568220,Simulation
257350,Adventure
257350,RPG
374040,Action
374040,Adventure
374040,RPG
668580,Action
668580,Adventure
668580,RPG
9450,Strategy
490220,Free To Play
490220,Indie
490220,Simulation
490220,Strategy
490220,Early Access
673950,Casual
673950,Indie
673950,Simulation
747660,Action
747660,Adventure
747660,Indie
239350,Indie
377300,Action
377300,Simulation
377300,Free To Play
2552430,Action
2552430,Adventure
2552430,RPG
1030840,Action
1030840,Adventure
823500,Action
823500,Adventure
823500,Indie
823500,Simulation
204340,Action
204340,Indie
2206460,Action
262280,RPG
262280,Simulation
262280,Strategy
1846380,Action
1846380,Racing
1515210,Adventure
1515210,Indie
1147550,Adventure
1147550,Indie
1147550,Simulation
434650,Action
434650,Adventure
434650,Indie
434650,RPG
780310,Action
780310,Adventure
780310,Indie
780310,RPG
780310,Simulation
780310,Strategy
1328670,Action
1328670,RPG
226840,RPG
226840,Strategy
210970,Adventure
210970,Indie
361280,Indie
361280,Simulation
361280,Strategy
311240,Adventure
4580,Strategy
921060,Action
921060,Free To Play
921060,Massively Multiplayer
239200,Action
239200,Adventure
239200,Indie
257420,Action
257420,Adventure
257420,Indie
1888930,Action
1888930,Adventure
34450,Strategy
1544020,Action
1544020,Adventure
383980,Indie
394310,Indie
394310,RPG
394310,Strategy
1435790,Adventure
1435790,Casual
1435790,Indie
1435790,Simulation
2096600,Action
20510,Action
20510,RPG
1268750,Action
1268750,Indie
1501750,Action
1501750,Adventure
1501750,RPG
969990,Action
969990,Adventure
969990,Casual
249050,Adventure
249050,Indie
249050,RPG
249050,Strategy
1809540,Action
1809540,Adventure
1809540,Indie
682990,Action
682990,Adventure
682990,Indie
682990,Simulation
1940340,Indie
1940340,RPG
1940340,Strategy
12810,RPG
3830,Action
290340,Adventure
290340,Indie
290340,RPG
290340,Strategy
997010,Simulation
505460,Action
505460,Indie
505460,Massively Multiplayer
505460,RPG
505460,Strategy
614570,Action
496300,Indie
496300,Simulation
496300,Strategy
57900,Action
333420,Action
333420,Adventure
333420,Strategy
690640,Action
690640,Adventure
690640,Indie
1252330,Action
1462040,Action
1462040,Adventure
1462040,RPG
1527950,Adventure
1527950,Indie
1527950,RPG
1527950,Strategy
40700,Adventure
40700,Indie
2108330,Racing
2108330,Sports
1184140,Racing
2296990,Adventure
2296990,Casual
2296990,Indie
397950,Action
397950,Indie
371660,Action
371660,Adventure
3900,Strategy
489940,Action
489940,Free To Play
2390840,Action
2390840,Massively Multiplayer
382490,Action
382490,Indie
382490,Free To Play
731490,Action
1295660,Simulation
1295660,Strategy
1244460,Simulation
1244460,Strategy
882100,Strategy
1161580,Simulation
213610,Action
710920,Action
710920,Adventure
1124300,Strategy
269950,Simulation
1253920,Action
1253920,Adventure
1253920,Indie
1253920,RPG
544920,Action
544920,Indie
544920,Free To Play
226860,Strategy
2321470,Action
1966900,Action
1966900,Adventure
1966900,Casual
1966900,Indie
1966900,Strategy
40970,Simulation
40970,Strategy
1605220,Strategy
903950,Action
903950,Adventure
903950,Indie
903950,Massively Multiplayer
903950,RPG
903950,Early Access
2300320,Simulation
368070,Action
872410,Simulation
23490,Simulation
23490,Strategy
531510,Action
531510,Indie
1036700,Action
1036700,Adventure
1036700,Indie
1119730,Simulation
1657630,Action
1657630,Adventure
1657630,Casual
1657630,Indie
1657630,Simulation
246420,Strategy
1448440,Action
1448440,Adventure
1448440,RPG
1817190,Action
1817190,Adventure
1325200,Action
1325200,RPG
627270,Action
626690,Action
626690,RPG
595520,RPG
1128920,Action
1128920,Adventure
1128920,RPG
