app_id,recommendations,metacritic_score
1832640,111421,
57300,20189,85.0
323190,112828,84.0
39210,77865,83.0
238320,102330,80.0
282070,88802,83.0
438740,64457,61.0
617290,46750,78.0
552500,90502,82.0
1057090,134696,88.0
359320,81414,80.0
214950,57544,76.0
9480,12625,72.0
1771300,137039,89.0
447040,86163,
209080,8244,64.0
648350,48158,69.0
1372880,21922,
35720,15231,84.0
379430,140609,76.0
289650,77452,
4560,4792,93.0
233130,15864,74.0
391720,13025,73.0
1361210,105162,
238090,21248,
1250410,69132,91.0
1942280,108548,
881020,38388,
204880,10211,82.0
387290,62078,88.0
635260,82164,
414340,66340,83.0
47870,17440,85.0
1304930,85830,
1272080,48211,66.0
1313140,108153,82.0
261570,50698,88.0
200260,54649,91.0
393380,177316,
1254120,209,
201790,12879,83.0
787860,64359,73.0
466560,54163,81.0
740130,27497,84.0
1248130,68518,
325610,26634,80.0
1643320,102473,
63380,6234,66.0
201810,45491,81.0
50,24878,
1845910,40834,
1029690,23993,79.0
312660,53712,78.0
502500,45256,78.0
1637320,18183,
41070,21653,72.0
1284210,480,90.0
485510,29243,84.0
35700,12774,80.0
282140,45506,84.0
225260,11152,80.0
204300,11836,78.0
858820,17408,
349040,72146,
823130,15304,
637650,44406,
703080,79023,81.0
35140,60144,91.0
433340,137076,81.0
527230,30845,79.0
645630,48196,
1790600,49037,83.0
368260,16689,
453480,338,
633230,42436,
1371980,63284,
606150,17026,74.0
342200,155,
55150,18123,74.0
8980,21026,81.0
234650,9466,76.0
206440,68742,81.0
1687950,87047,95.0
238370,9425,
977950,76687,
268050,20975,68.0
289130,14364,82.0
1557740,34867,
683320,82793,84.0
1817070,94361,
205100,65613,91.0
55230,48688,84.0
262060,138783,84.0
6060,46263,78.0
508440,141229,
307780,38830,84.0
403640,42284,86.0
1203620,90975,
397540,127164,81.0
208650,108647,
244850,102166,
1142710,101693,86.0
2593370,49230,79.0
39500,8948,63.0
1286680,17607,
1290000,50436,
57690,8181,78.0
208140,6599,77.0
519860,21852,88.0
582500,1733,
1058020,4178,
246620,56762,
324800,24017,78.0
313160,13249,64.0
257850,15213,84.0
1490890,16542,
960170,29534,
1922560,43801,82.0
1385380,10596,
411300,12381,67.0
247080,23468,87.0
392110,17145,80.0
9340,803,87.0
752590,58899,81.0
612880,34506,86.0
638070,374,63.0
232890,12510,
102600,6621,83.0
2527500,119544,
774361,52425,77.0
251060,15692,78.0
4500,37960,82.0
32470,35680,
637090,22800,78.0
690790,38715,84.0
704850,36852,
424370,61724,60.0
851850,43567,73.0
243470,46714,77.0
34440,2743,94.0
4570,8746,86.0
2322560,36174,
10680,15919,68.0
216150,101,
378540,8913,72.0
736220,18891,
228200,12395,93.0
233720,13769,71.0
1282100,45345,
130,18242,71.0
418240,30714,85.0
17460,14848,89.0
1178830,36103,
334230,30889,
599140,38854,69.0
1621690,49032,86.0
1778820,46292,91.0
1522820,10838,
23310,2783,66.0
3910,5629,90.0
41000,7202,68.0
1284190,66296,
585420,31492,
527430,19400,67.0
334210,217,
535930,26387,83.0
414700,53303,75.0
292910,3354,
447020,22937,69.0
1929610,18535,
2096610,7422,
250400,13985,60.0
410320,7715,79.0
601430,19474,80.0
1190000,35770,
39140,26158,
220440,20427,85.0
337320,28765,
350640,11958,65.0
1475810,11790,77.0
427270,152,87.0
816020,16847,60.0
34460,3825,86.0
55110,2584,74.0
278080,11817,71.0
1987080,38344,
245620,9775,75.0
657200,28435,
1388770,22273,
603850,47341,
1113000,69994,87.0
1016920,13658,77.0
955050,30134,
794260,24378,
2680010,20029,
920210,37960,78.0
257510,29086,85.0
4760,12986,92.0
568220,50205,
257350,9351,78.0
374040,16832,72.0
668580,37033,76.0
9450,13552,
490220,116,
673950,17602,
747660,64496,
239350,14605,90.0
377300,4030,65.0
2552430,8953,
1030840,86600,78.0
823500,34086,72.0
204340,11699,74.0
2206460,233,
262280,2284,70.0
1846380,47920,
1515210,14415,
1147550,10173,82.0
434650,18334,
780310,21581,83.0
1328670,60473,86.0
226840,7006,80.0
210970,16833,87.0
361280,13004,73.0
311240,4577,78.0
4580,7580,87.0
239200,7152,72.0
257420,15392,68.0
1888930,62258,
34450,398,84.0
1544020,34740,
383980,32980,
394310,11972,73.0
1435790,16322,82.0
2096600,8695,
20510,17669,75.0
1268750,29478,
1501750,36065,75.0
969990,14241,
249050,9393,
1809540,37448,
682990,21247,59.0
1940340,23600,81.0
12810,3958,79.0
3830,12096,87.0
290340,10989,75.0
997010,18273,
505460,46516,
614570,9600,81.0
496300,10057,
57900,6277,54.0
333420,12229,
690640,11595,81.0
1252330,19725,87.0
1462040,40260,
1527950,31403,
40700,17068,85.0
2108330,14206,81.0
2296990,3830,82.0
397950,14527,76.0
371660,37854,74.0
3900,2743,94.0
489940,12857,
731490,16228,
1295660,42770,79.0
1244460,38997,76.0
882100,20495,
1161580,19182,83.0
213610,23302,
710920,10204,77.0
1124300,21906,
269950,18943,
1253920,14133,88.0
544920,1374,74.0
226860,8322,81.0
2321470,45833,
1966900,27633,
40970,17420,78.0
1605220,11426,
903950,20461,
2300320,36338,
368070,15014,
872410,12819,
23490,830,79.0
531510,23577,
1036700,354,
1119730,39509,
1657630,42498,
246420,14100,
1448440,20665,79.0
1817190,36765,
1325200,33578,86.0
627270,17254,86.0
626690,15432,61.0
595520,8393,
1128920,11797,81.0
214340,10304,74.0
1262600,8725,76.0
2679460,24129,92.0
1134570,25815,86.0
1627720,56360,
2221490,31128,84.0
399810,10745,
1065310,9887,
536930,1303,
377840,12121,84.0
21130,6424,79.0
215530,7706,72.0
235540,13633,79.0
597170,35177,82.0
1262240,15199,77.0
41700,24940,80.0
999220,7825,80.0
1262560,23657,78.0
301640,14092,72.0
1080110,25787,
2161700,39401,89.0
1382330,12672,76.0
359870,19295,
1222690,18828,85.0
1227890,23630,
1007040,9317,76.0
666140,34720,73.0
669330,17431,
1256670,38561,
224480,9028,69.0
1703340,33303,
480490,37218,
1677280,23680,81.0
567640,21353,80.0
1214670,408,
619820,5579,
24010,19271,
493900,12602,75.0
280160,10195,71.0
2058180,9104,
2130,9177,72.0
1113120,14902,
350080,17583,76.0
1238000,16372,72.0
1338770,12447,
606280,12287,70.0
24980,13315,94.0
235600,19063,
34030,17685,81.0
47810,28124,91.0
242860,28912,70.0
2100,9177,72.0
