app_id,developer,publisher,owners_range,concurrent_users_yesterday,price,initial_price,genres,positive,negative
1832640,KAGAMI Ⅱ WORKs,NIJICO,"2,000,000 .. 5,000,000",11,79,199,"Adventure, Indie, RPG, Early Access",28726,87986
57300,Frictional Games,Frictional Games,"2,000,000 .. 5,000,000",60,679,1999,"Action, Adventure, Indie",32258,1850
323190,11 bit studios,11 bit studios,"2,000,000 .. 5,000,000",1699,299,2999,"Simulation, Strategy",114315,9231
39210,Square Enix,Square Enix,"2,000,000 .. 5,000,000",19824,1999,1999,"Massively Multiplayer, RPG",70254,9782
238320,Red Barrels,Red Barrels,"2,000,000 .. 5,000,000",215,374,1499,"Action, Adventure, Indie",121220,4458
282070,11 bit studios,11 bit studios,"2,000,000 .. 5,000,000",756,1999,1999,"Adventure, Indie, Simulation",94484,7256
438740,IllFonic,Gun Media,"2,000,000 .. 5,000,000",19,0,0,Action,62069,15444
617290,Gunfire Games,"Arc Games, THQ Nordic","2,000,000 .. 5,000,000",429,799,3999,"Action, Adventure, RPG",44761,8081
552500,Fatshark,Fatshark,"2,000,000 .. 5,000,000",2124,299,2999,"Action, Indie, RPG",113489,20234
1057090,Moon Studios GmbH,Xbox Game Studios,"2,000,000 .. 5,000,000",697,2999,2999,Action,131989,4701
359320,Frontier Developments,Frontier Developments,"2,000,000 .. 5,000,000",4845,1999,1999,"Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy",77388,22636
214950,"CREATIVE ASSEMBLY, Feral Interactive","SEGA, Feral Interactive","2,000,000 .. 5,000,000",3901,1199,5999,Strategy,73559,14614
9480,Volition,Deep Silver,"2,000,000 .. 5,000,000",95,249,999,Action,15420,5046
1771300,Warhorse Studios,Deep Silver,"2,000,000 .. 5,000,000",7073,2399,5999,"Action, Adventure, RPG",96279,6058
447040,Ubisoft,Ubisoft,"2,000,000 .. 5,000,000",863,249,4999,"Action, Adventure",68213,14166
209080,Muse Games,Muse Games,"2,000,000 .. 5,000,000",16,499,499,"Action, Adventure, Indie, Simulation",13172,1473
648350,Frontier Developments,Frontier Developments,"2,000,000 .. 5,000,000",260,4499,4499,"Simulation, Strategy",47081,6875
1372880,FNTASTIC,Mytona Fntastic,"2,000,000 .. 5,000,000",0,0,0,"Action, Adventure, Massively Multiplayer, Early Access",3686,19751
35720,Frozenbyte,Frozenbyte,"2,000,000 .. 5,000,000",18,399,1999,"Action, Adventure, Indie",20682,997
379430,Warhorse Studios,"Warhorse Studios, Deep Silver","2,000,000 .. 5,000,000",2520,599,2999,"Action, Adventure, RPG",136446,25760
289650,Ubisoft,Ubisoft,"2,000,000 .. 5,000,000",373,2999,2999,"Action, Adventure",58065,16229
4560,Relic Entertainment,SEGA,"2,000,000 .. 5,000,000",65,739,3699,"Action, Strategy",6540,457
233130,Flying Wild Hog,Devolver Digital,"2,000,000 .. 5,000,000",20,299,2999,"Action, Adventure",24071,2080
391720,Bloober Team SA,Bloober Team SA,"2,000,000 .. 5,000,000",17,1999,1999,"Adventure, Indie",23576,3040
